"Marca temporal","¿Cuál es tu edad?","¿Cuál es tu genero?","  Tipo de institución donde cursas o cursarás ","Estatus académico actual ","Estado donde estudias o estudiaste"," ¿Qué promedio general tienes actualmente o tuviste al egresar de la preparatoria?  ","  ¿Has utilizado antes un test vocacional?  ","Si lo usaste, ¿Qué tan útil fue para ti? ","¿Qué fuentes usas más para decidir tu carrera? ","¿Cuánto tiempo dedicas o dedicabas a investigar sobre carreras y universidades cada semana?  ","¿Qué dispositivo usas más para investigar o estudiar?  ","  ¿Cómo describirías tu acceso a internet?  ","Plataformas que usas más para aprender o investigar (elige todas las que apliquen):  ","¿Qué formatos prefieres para recibir orientación vocacional?  ","   ¿Te interesaría usar un sistema que prediga tu carrera ideal en menos de 10 minutos?  ","  ¿Confiarías en un sistema basado en inteligencia artificial para orientarte?  ","  ¿Qué beneficio esperarías de un sistema predictivo de carreras?  ","Describe en una frase qué características debería tener un sistema ideal para ayudarte a elegir carrera.  
  (Respuesta breve, máximo 20 palabras)  ","¿Qué te ha frustrado más al intentar elegir una carrera universitaria?","¿Estarías dispuesto a responder un test digital si te da una recomendación personalizada de carrera?  ","Y si respondiste que si ¿Crees que un sistema así podría ayudarte a tomar una mejor decisión vocacional?  ","En una frase, describe qué características debería tener un sistema ideal para ayudarte a elegir carrera.  
  (Respuesta breve, máximo 20 palabras)  ","¿Conoces otras plataformas o herramientas de orientación vocacional?  ","Si respondiste sí, ¿Cuál consideras la mejor y por qué?  ","Si respondiste sí,  Califica tu nivel de satisfacción con las herramientas de orientación vocacional que has probado  ","En tu opinión, ¿qué problema principal tienen los tests vocacionales actuales?  "
"2025/09/21 4:06:24 p. m. GMT-6","23 años o más","Masculino","Publica","Estudiante de preparatoria o bachillerato","Chiapas","Aún no he egresado de la preparatoria","No, nunca","1","Internet (Google, foros, páginas de universidades)","Menos de 1 hora","Teléfono móvil","Solo en casa","Wikipedia","Video explicativo","Talvez","4","Mayor precisión en la elección","Enfoque selectivo en base a los presupuestos ","Presión familiar o social","Tal vez","Probablemente sí","Orientacion basica sobre primera interaccion.","No","","","No sabria decirlo ya que no los he usado "
"2025/09/21 4:07:07 p. m. GMT-6","21-22  años","Masculino","Publica","Estudiante universitario (avanzado)","Chiapas","6.0 – 6.9","Sí, una o dos veces","3","Familiares","Nada o casi nada","Teléfono móvil","Siempre disponible","Wikipedia","Texto breve","Si","3","Recomendaciones personalizadas","Que sea breve y exacto dependiendo de la persona ","Falta de información clara","Sí","No lo sé","Que tenga información variada","No","   ","3","No son hechos con seriedad "
"2025/09/21 4:12:12 p. m. GMT-6","21-22  años","Femenino","Publica","Estudiante universitario (avanzado)","Chiapas","9.0 – 10.0","No, pero he escuchado de ellos","3","Amigos o compañeros","3–5 horas","Teléfono móvil","Siempre disponible (Wifi y datos)","YouTube;TikTok;Coursera / Khan Academy","Infografía visual;Chat interactivo (tipo chatbot);Mapa comparativo de carreras","Si","3","Recomendaciones personalizadas","Que concuerde a mi perfil y sea accesible ","Falta de información clara","Sí","Sí, definitivamente","Que concuerde con mi perfil ","No","","","No sé, no he utilizado"
"2025/09/21 4:15:57 p. m. GMT-6","21-22  años","Masculino","Publica","Estudiante universitario (avanzado)","Chiapas","9.0 – 10.0","Sí, una o dos veces","3","Internet (Google, foros, páginas de universidades)","Menos de 1 hora","Teléfono móvil","Siempre disponible (Wifi y datos)","YouTube;Instagram","Texto breve;Chat interactivo (tipo chatbot);Test tipo juego;Mapa comparativo de carreras","Si","3","Información clara","Multiples elecciones de carreras, muchos test's para ver todas mis areas de oportunidad ","Falta de información clara","Sí","Probablemente sí","Múltiples carreras, multiples test's para ver todas mis areas de oportunidad ","No","","","No se toman el tiempo suficiente para conocer todas tus áreas de interés "
"2025/09/21 4:18:53 p. m. GMT-6","21-22  años","Prefiero no decirlo","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","No, nunca","1","Familiares","Menos de 1 hora","Computadora de escritorio","Siempre disponible (Wifi y datos)","YouTube;Coursera / Khan Academy","Test tipo juego","No","1","Descubrimiento de carreras que no conocía","Que lo escoja por mi cuenta. Sinceramente no dejaría mi futuro en manos de algo así","Presión familiar o social","No","","No utilizaría algo así","No","","","No los utiizo"
"2025/09/21 4:22:46 p. m. GMT-6","19-20  años","Masculino","Publica","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, una o dos veces","3","Amigos o compañeros","Nada o casi nada","Computadora portátil","Siempre disponible (Wifi y datos)","YouTube;TikTok","Infografía visual;Mapa comparativo de carreras","Si","4","Mayor precisión en la elección","Gustos, lo que me apasiona y actividades que eh realizado ","Presión familiar o social","Sí","Probablemente sí","Que manden información de las personas ","No","","","Muy repetitivos"
"2025/09/21 4:55:18 p. m. GMT-6","23 años o más","Femenino","Publica","Egresado universitario","Chiapas","9.0 – 10.0","Sí, varias veces y en diferentes formatos","5","Internet (Google, foros, páginas de universidades)","Menos de 1 hora","Computadora portátil","Solo en casa (Solo wifi)","Wikipedia","Test tipo juego","Si","4","Ahorro de tiempo","Fácil y rápido ","Los tests vocacionales son confusos","Sí","Sí, definitivamente","Fácil y rápido ","No","","","Confusos "
"2025/09/21 5:12:22 p. m. GMT-6","23 años o más","Masculino","Publica","No estudio actualmente","Chiapas","9.0 – 10.0","Sí, una o dos veces","3","Orientador escolar","1–2 horas","Teléfono móvil","Solo en casa (Solo wifi)","YouTube;Instagram;Wikipedia","Texto breve;Video explicativo;Test tipo juego","Si","4","Información clara","Actualizada y clara","Falta de información clara","Sí","Probablemente sí","Confiable","No","","2","Aburridos"
"2025/09/21 5:16:41 p. m. GMT-6","19-20  años","Masculino","Publica","No estudio actualmente","Quintana Roo","8.0 – 8.9","Sí, una o dos veces","2","Internet (Google, foros, páginas de universidades)","3–5 horas","Computadora de escritorio","Solo en casa (Solo wifi)","YouTube;Wikipedia","Texto breve;Infografía visual","Talvez","1","Mayor precisión en la elección","Precision","No","No","Probablemente sí","Presidion ","No","nada","3","son algo vagas en sus respuestas"
"2025/09/21 5:26:29 p. m. GMT-6","23 años o más","Masculino","Publica","No estudio actualmente","Chiapas","8.0 – 8.9","Sí, una o dos veces","4","Orientador escolar","1–2 horas","Teléfono móvil","Siempre disponible (Wifi y datos)","YouTube","Video explicativo","Si","4","Ahorro de tiempo","Versz","Falta de información clara","Sí","Sí, definitivamente","Que explique fácil ","No","","","Que no se le entienden"
"2025/09/21 5:28:00 p. m. GMT-6","23 años o más","Femenino","Publica","No estudio actualmente","Chiapas","8.0 – 8.9","Sí, una o dos veces","4","Orientador escolar","Menos de 1 hora","Teléfono móvil","Solo en casa (Solo wifi)","YouTube;Wikipedia","Video explicativo","Si","3","Recomendaciones personalizadas","Que explique claramente ","Falta de información clara","Sí","Probablemente sí","Que sea fácil de entender ","No","","","Falta de claridad "
"2025/09/21 5:41:38 p. m. GMT-6","23 años o más","Femenino","Publica","Estudiante universitario (avanzado)","Chiapas","Prefiero no decirlo","No, pero he escuchado de ellos","3","Eventos universitarios","Nada o casi nada","Teléfono móvil","Siempre disponible (Wifi y datos)","YouTube;Instagram","Infografía visual","Talvez","2","Descubrimiento de carreras que no conocía","preciso, breve y asertivo ","Muchas opciones y no sé cuál elegir","Sí","No lo sé","conciso, ","No","","","Suelen ser imprecisos o no van de acuerdo a las opciones económicas del individuo, cosa que también influye en la elección de una carrera vocacional"
"2025/09/21 5:43:39 p. m. GMT-6","23 años o más","Masculino","Privada","Egresado universitario","Chiapas","8.0 – 8.9","No, pero he escuchado de ellos","1","Orientador escolar","Nada o casi nada","Teléfono móvil","Siempre disponible (Wifi y datos)","Wikipedia","Texto breve","Si","5","Ahorro de tiempo","Resolver","Falta de información clara","Sí","Sí, definitivamente","Preciso","No","","","Turbios"
"2025/09/21 5:50:16 p. m. GMT-6","23 años o más","Femenino","Publica","Egresado universitario","Chiapas","9.0 – 10.0","Sí, una o dos veces","5","Orientador escolar","Menos de 1 hora","Teléfono móvil","Siempre disponible (Wifi y datos)","Wikipedia","Video explicativo","Si","1","Información clara","Que sea 100% confiable ","Falta de información clara","Tal vez","","Que te den datos y estadísticas reales","No","","","Casi no los consulto "
"2025/09/22 2:55:48 p. m. GMT-6","21-22  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, varias veces y en diferentes formatos","3","Familiares","1–2 horas","Teléfono móvil","Solo en casa (Solo wifi)","Instagram;Wikipedia","Infografía visual","Si","5","Información clara","Seriedad ","Presión familiar o social","Sí","Sí, definitivamente","Realidad ","No","","3","No son confiables y muchas veces te da opciones raras las cuales no son para nada serias lo que nos hace malinterpretar las cosas "
"2025/09/22 2:59:29 p. m. GMT-6","19-20  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","No, pero he escuchado de ellos","5","Orientador escolar","3–5 horas","Teléfono móvil","Siempre disponible (Wifi y datos)","YouTube","Texto breve;Chat interactivo (tipo chatbot)","Si","3","Recomendaciones personalizadas","Debería de tener respuestas adoptadas a los futuros universitarios, variedad de sugerencias y ser visualmente cómodo pero no aburrido. ","Muchas opciones y no sé cuál elegir","Sí","Probablemente sí","Me gustaría que fuera visualmente atractivo.  ","No",".","3","No sabría decir "
"2025/09/22 3:02:09 p. m. GMT-6","19-20  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, varias veces y en diferentes formatos","4","Familiares","Menos de 1 hora","Teléfono móvil","Siempre disponible (Wifi y datos)","YouTube;Wikipedia","Texto breve;Video explicativo;Infografía visual;Chat interactivo (tipo chatbot);Test tipo juego","Si","3","Recomendaciones personalizadas","Que me de opciones de universidades ","Falta de información clara","Sí","Sí, definitivamente","Que me de opciones, y plan de estudio de la universidad ","No","","3","Que no dan opciones de carreras nuevas "
"2025/09/22 3:02:36 p. m. GMT-6","21-22  años","Masculino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, una o dos veces","4","Orientación psicológica","3–5 horas","Teléfono móvil","Siempre disponible (Wifi y datos)","YouTube;TikTok;Instagram;Google","Texto breve","Si","4","Recomendaciones personalizadas","Apegado a la capacidad de explotación de habilidades","Presión familiar o social","Sí","Sí, definitivamente","Ser afín a una habilidad ","No","","4","Que no son muy personalizadas "
"2025/09/22 3:21:09 p. m. GMT-6","19-20  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","9.0 – 10.0","Sí, varias veces y en diferentes formatos","4","Profesores o asesores académicos","Menos de 1 hora","Computadora portátil","Siempre disponible (Wifi y datos)","TikTok;Instagram;Coursera / Khan Academy","Video explicativo;Infografía visual","Si","4","Ahorro de tiempo","Informacion Verificada ","Falta de información clara","Sí","Sí, definitivamente","Rápido ","No","No conozco ","4","No son confiables "
"2025/09/22 3:31:25 p. m. GMT-6","19-20  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","9.0 – 10.0","Sí, varias veces y en diferentes formatos","4","Familiares","Menos de 1 hora","Teléfono móvil","Siempre disponible (Wifi y datos)","TikTok;SCJN","Video explicativo;Infografía visual;Mapa comparativo de carreras","Si","4","Recomendaciones personalizadas","Ser preciso","Falta de información clara","Sí","Sí, definitivamente","Ser concreto","No","","","No son precisos"
"2025/09/22 3:32:58 p. m. GMT-6","19-20  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, una o dos veces","1","Internet (Google, foros, páginas de universidades)","1–2 horas","Teléfono móvil","Siempre disponible (Wifi y datos)","Wikipedia","Texto breve","Si","3","Recomendaciones personalizadas","exposiciones ","Falta de información clara","Sí","Sí, definitivamente","exposicion ","No","no ","1","1"
"2025/09/22 3:34:01 p. m. GMT-6","19-20  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, una o dos veces","5","Internet (Google, foros, páginas de universidades)","Nada o casi nada","Teléfono móvil","Siempre disponible (Wifi y datos)","YouTube;TikTok;Instagram;Wikipedia","Texto breve;Video explicativo;Infografía visual;Chat interactivo (tipo chatbot);Mapa comparativo de carreras","Si","3","Descubrimiento de carreras que no conocía","Inteligencia ","Falta de información clara","Sí","Probablemente sí","Concretividad ","No","","","Nunca he usado una "
"2025/09/22 3:34:06 p. m. GMT-6","21-22  años","Masculino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, una o dos veces","4","Internet (Google, foros, páginas de universidades)","Menos de 1 hora","Teléfono móvil","Siempre disponible (Wifi y datos)","TikTok;Scielo, Open AI","Video explicativo","Si","2","Información clara","Certeza y fiabilidad","Muchas opciones y no sé cuál elegir","Sí","Probablemente no","Ágil y con información clara","No",".","1","Son tardados"
"2025/09/22 3:34:12 p. m. GMT-6","17-18  años","Masculino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, una o dos veces","3","Internet (Google, foros, páginas de universidades)","Nada o casi nada","Teléfono móvil","Limitado o inestable","TikTok;Coursera / Khan Academy","Video explicativo","Si","4","Mayor precisión en la elección","Un sistema ideal para elegir carrera debería ser personalizado, interactivo y basado en tus intereses, habilidades, valores y proyecciones de vida, ofreciendo orientación práctica y realista sobre tus opciones.","Muchas opciones y no sé cuál elegir","Sí","Sí, definitivamente","Un sistema ideal para elegir carrera debería ser claro, confiable y personalizado, capaz de combinar tus intereses, aptitudes y metas con información actualizada del mundo laboral.","No","No conozco ","1","Muy ambiguos "
"2025/09/22 3:34:59 p. m. GMT-6","19-20  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","9.0 – 10.0","Sí, una o dos veces","3","Familiares","1–2 horas","Teléfono móvil","Solo en casa (Solo wifi)","YouTube;TikTok;Google ","Infografía visual;Chat interactivo (tipo chatbot);Test tipo juego","Talvez","4","Recomendaciones personalizadas","Pues que sea didáctico y que exprese bien lo que es cada carrera","Muchas opciones y no sé cuál elegir","Sí","Probablemente sí","Pues como dije que sea didáctico ","No","","","Que son solo para pensar que te ayudan y no te especifican nada de la carrera y te dan resultados malos"
"2025/09/22 3:35:25 p. m. GMT-6","19-20  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","9.0 – 10.0","No, pero he escuchado de ellos","3","Familiares","Menos de 1 hora","Teléfono móvil","Siempre disponible (Wifi y datos)","YouTube;TikTok","Texto breve","Talvez","4","Recomendaciones personalizadas","Ser personalizado y sencillo de usar ","Muchas opciones y no sé cuál elegir","Sí","Probablemente sí","Ser auténtico y sencillo de usar","No","","","No conozco test "
"2025/09/22 3:35:54 p. m. GMT-6","19-20  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, varias veces y en diferentes formatos","5","Familiares","Menos de 1 hora","Tableta","Siempre disponible (Wifi y datos)","TikTok","Test tipo juego","Si","5","Información clara","Informativo ","Los tests vocacionales son confusos","Sí","Probablemente sí","Informativo ","No","No","1","Les falta demasiada información "
"2025/09/22 3:36:02 p. m. GMT-6","19-20  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","7.0 – 7.9","No, nunca","5","Internet (Google, foros, páginas de universidades)","Menos de 1 hora","Teléfono móvil","Solo en casa (Solo wifi)","TikTok;Wikipedia","Infografía visual;Chat interactivo (tipo chatbot)","Talvez","4","Ahorro de tiempo","confianza ","Muchas opciones y no sé cuál elegir","Tal vez","No lo sé","confianza ","No","","","no todos son confiables "
"2025/09/22 3:36:30 p. m. GMT-6","19-20  años","Masculino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","No, pero he escuchado de ellos","2","Familiares","Nada o casi nada","Teléfono móvil","Siempre disponible (Wifi y datos)","YouTube;TikTok;Instagram;Wikipedia","Texto breve;Test tipo juego;Presentación paso a paso","Talvez","3","Recomendaciones personalizadas","Experiencias ","Muchas opciones y no sé cuál elegir","Tal vez","Probablemente sí","Vocación ","No","","2","Que no son acertados en algunos casos "
"2025/09/22 3:36:33 p. m. GMT-6","19-20  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, varias veces y en diferentes formatos","3","Internet (Google, foros, páginas de universidades)","Menos de 1 hora","Computadora portátil","Siempre disponible (Wifi y datos)","TikTok;Google ","Texto breve;Test tipo juego","Si","4","Ahorro de tiempo","Un sistema ideal debe ser personalizado, confiable, interactivo y basado en tus intereses, habilidades y oportunidades reales.","Presión familiar o social","Sí","Probablemente sí","Un sistema ideal debe ser claro, personalizado, confiable y orientar según intereses, habilidades y oportunidades profesionales.","No","","","El principal problema es que suelen ser demasiado generales y no consideran el contexto personal, laboral y emocional del estudiante.
"
"2025/09/22 3:37:06 p. m. GMT-6","19-20  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","9.0 – 10.0","Sí, una o dos veces","2","Internet (Google, foros, páginas de universidades)","Nada o casi nada","Computadora portátil","Siempre disponible (Wifi y datos)","Chat gpt ","Test tipo juego","Si","5","Recomendaciones personalizadas","Facilidad de acceso ","Muchas opciones y no sé cuál elegir","Sí","Sí, definitivamente","Respuestas exactas ","No","Si ","","Que no dan respuestas claras "
"2025/09/22 3:37:38 p. m. GMT-6","21-22  años","Masculino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, varias veces y en diferentes formatos","2","Familiares","Nada o casi nada","Computadora portátil","Siempre disponible (Wifi y datos)","YouTube","Texto breve;Video explicativo","No estoy seguro","3","Información clara","fácil ","Los tests vocacionales son confusos","Tal vez","Probablemente no","fácil ","No","no","2","ninguno"
"2025/09/22 3:42:26 p. m. GMT-6","19-20  años","Masculino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, varias veces y en diferentes formatos","1","Internet (Google, foros, páginas de universidades)","Nada o casi nada","Teléfono móvil","Siempre disponible (Wifi y datos)","YouTube","Texto breve","No","1","Ahorro de tiempo","Accesible","Los tests vocacionales son confusos","No","No","Accesible","No","","1","Poco utiles"
"2025/09/22 3:42:55 p. m. GMT-6","19-20  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, una o dos veces","3","Familiares","Menos de 1 hora","Computadora portátil","Solo en casa (Solo wifi)","YouTube;Wikipedia","Texto breve;Video explicativo;Mapa comparativo de carreras","Talvez","3","Ahorro de tiempo","claridad y seguridad de que todo sea verídico ","Muchas opciones y no sé cuál elegir","Tal vez","No lo sé","poder tener la certeza de que todo sea verdad ","No","","3","no son 100% seguros o confiables "
"2025/09/22 3:43:41 p. m. GMT-6","19-20  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","No, pero he escuchado de ellos","4","Familiares","1–2 horas","Teléfono móvil","Siempre disponible (Wifi y datos)","Chtgpt","Texto breve;Video explicativo","Talvez","4","Información clara","Explicar de Diversas maneras que esa carrera es la ideal ","Falta de información clara","Tal vez","Probablemente sí","Explicación del tema ","Si","Ctgpt","3","Ni guna"
"2025/09/22 3:44:28 p. m. GMT-6","19-20  años","Masculino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, una o dos veces","4","Estilo de vida, personal","Nada o casi nada","Teléfono móvil","Solo en casa (Solo wifi)","YouTube;TikTok;X","Chat interactivo (tipo chatbot);Test tipo juego","Si","3","Recomendaciones personalizadas","Claro y conciso.","Falta de información clara","Sí","Sí, definitivamente","Funcional e interactivo ","No","No","3","No son buenos"
"2025/09/22 3:46:51 p. m. GMT-6","19-20  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","9.0 – 10.0","Sí, una o dos veces","5","Internet (Google, foros, páginas de universidades)","Nada o casi nada","Teléfono móvil","Siempre disponible (Wifi y datos)","TikTok;Instagram;Wikipedia","Texto breve","Si","5","Recomendaciones personalizadas","…","Los tests vocacionales son confusos","Sí","Sí, definitivamente","…","Si","…","5","…"
"2025/09/22 3:47:45 p. m. GMT-6","19-20  años","Masculino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, una o dos veces","5","Internet (Google, foros, páginas de universidades)","Menos de 1 hora","Teléfono móvil","Siempre disponible (Wifi y datos)","YouTube;TikTok","Texto breve;Infografía visual","Talvez","3","Ahorro de tiempo","Eficiente ","Muchas opciones y no sé cuál elegir","Sí","Probablemente sí","El conocimiento es poder","No","","5","Son muy tediosos "
"2025/09/22 4:14:00 p. m. GMT-6","19-20  años","Femenino","Privada","Estudiante universitario (avanzado)","Chiapas","8.0 – 8.9","Sí, varias veces y en diferentes formatos","4","Familiares","1–2 horas","Teléfono móvil","Limitado o inestable","TikTok","Test tipo juego","Talvez","3","Información clara","Fácil y rápido ","Falta de información clara","Sí","Sí, definitivamente","Interesante ","No","","","Aveces no son claros"
"2025/09/23 6:47:45 p. m. GMT-6","21-22  años","Masculino","Privada","Estudiante universitario (avanzado)","Puebla","8.0 – 8.9","No, nunca","3","Amigos o compañeros","Menos de 1 hora","Computadora de escritorio","Siempre disponible (Wifi y datos)","YouTube;TikTok;Wikipedia;Domestika","Texto breve;Video explicativo;Chat interactivo (tipo chatbot)","Talvez","3","Recomendaciones personalizadas","Eficaz","Presión familiar o social","No","","Rapido y preciso ","No","","","Ni idea "